country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
Togo,Togo,TG,,,Kara,,Kozah,,Yade,Africa/Lome,UTC+0.0,9.59125621421691,1.14432335538689
Togo,Togo,TG,,,Maritime,,Agoe-Nyive,,Adetikope,Africa/Lome,UTC+0.0,6.31483291536793,1.21734450700562
Togo,Togo,TG,,,Maritime,,Agoe-Nyive,,Agoenyive,Africa/Lome,UTC+0.0,6.2320348073362,1.20135188828523
Togo,Togo,TG,,,Maritime,,Agoe-Nyive,,Legbassito,Africa/Lome,UTC+0.0,6.26410339962964,1.15317369990803
Togo,Togo,TG,,,Maritime,,Agoe-Nyive,,Togblekope,Africa/Lome,UTC+0.0,6.26530195167129,1.21593043236874
Togo,Togo,TG,,,Maritime,,Agoe-Nyive,,Vakpossito,Africa/Lome,UTC+0.0,6.21530281706845,1.16417415908104
Togo,Togo,TG,,,Maritime,,Agoe-Nyive,,Zanguera,Africa/Lome,UTC+0.0,6.23454818725633,1.12875209593006
Togo,Togo,TG,,,Maritime,,Avé,,Akepe,Africa/Lome,UTC+0.0,6.23766533485064,1.07594702722824
Togo,Togo,TG,,,Maritime,,Avé,,Assahoun/Ando Peme,Africa/Lome,UTC+0.0,6.49522421068295,0.858483832847341
Togo,Togo,TG,,,Maritime,,Avé,,Badja,Africa/Lome,UTC+0.0,6.38643824576265,1.01920069210477
Togo,Togo,TG,,,Maritime,,Avé,,Dzolo,Africa/Lome,UTC+0.0,6.38279099005822,0.906763788425459
Togo,Togo,TG,,,Maritime,,Avé,,Keve,Africa/Lome,UTC+0.0,6.4720994769876,0.997162800637763
Togo,Togo,TG,,,Maritime,,Avé,,Noepe,Africa/Lome,UTC+0.0,6.28309163414382,1.03568945171725
Togo,Togo,TG,,,Maritime,,Avé,,Tovegan,Africa/Lome,UTC+0.0,6.61521723709987,0.914230498270243
Togo,Togo,TG,,,Maritime,,Bas-Mono,,Afagnan / Afagnagan,Africa/Lome,UTC+0.0,6.497889749782,1.62952342245562
Togo,Togo,TG,,,Maritime,,Bas-Mono,,Agome Glozou/Agbetiko,Africa/Lome,UTC+0.0,6.50497017173897,1.6962075868863
Togo,Togo,TG,,,Maritime,,Bas-Mono,,Attitogon,Africa/Lome,UTC+0.0,6.42129386640254,1.6540578679236
Togo,Togo,TG,,,Maritime,,Bas-Mono,,Hompou,Africa/Lome,UTC+0.0,6.41830233676925,1.71280321950144
Togo,Togo,TG,,,Maritime,,Bas-Mono,,Kpetsou,Africa/Lome,UTC+0.0,6.54323118738954,1.5855749956023
Togo,Togo,TG,,,Maritime,,Golfe,,Aflao Gakli,Africa/Lome,UTC+0.0,6.20015133080659,1.16469633124524
Togo,Togo,TG,,,Maritime,,Golfe,,Amoutive,Africa/Lome,UTC+0.0,6.22081607569436,1.26507859080245
Togo,Togo,TG,,,Maritime,,Golfe,,Baguida,Africa/Lome,UTC+0.0,6.18593048105506,1.3429782785186
Togo,Togo,TG,,,Maritime,,Golfe,,Sagbado,Africa/Lome,UTC+0.0,6.19109288492474,1.12372197665653
Togo,Togo,TG,,,Maritime,,Lacs,,Agbodrafo,Africa/Lome,UTC+0.0,6.21278415016404,1.45381854261388
Togo,Togo,TG,,,Maritime,,Lacs,,Agouegan,Africa/Lome,UTC+0.0,6.27781408410721,1.7235218740535
Togo,Togo,TG,,,Maritime,,Lacs,,Aklakou,Africa/Lome,UTC+0.0,6.34050409972498,1.71798614094411
Togo,Togo,TG,,,Maritime,,Lacs,,Aneho,Africa/Lome,UTC+0.0,6.24157310353138,1.61497326227302
Togo,Togo,TG,,,Maritime,,Lacs,,Anfoin,Africa/Lome,UTC+0.0,6.33784435413835,1.61292941264768
Togo,Togo,TG,,,Maritime,,Lacs,,Ganave/Fiata,Africa/Lome,UTC+0.0,6.32365509988243,1.64032896509788
Togo,Togo,TG,,,Maritime,,Lacs,,Glidji,Africa/Lome,UTC+0.0,6.27432835535711,1.60408290396967
Togo,Togo,TG,,,Maritime,,Lomé,,Lomé,Africa/Lome,UTC+0.0,6.11158413566678,1.19753707000009
Togo,Togo,TG,,,Maritime,,Lomé,,Lomé,Africa/Lome,UTC+0.0,6.11181809066672,1.19789020600003
Togo,Togo,TG,,,Maritime,,Lomé,,Lomé,Africa/Lome,UTC+0.0,6.16442811441962,1.24006302810678
Togo,Togo,TG,,,Maritime,,Vo,,Akoumape,Africa/Lome,UTC+0.0,6.43631259391259,1.43821333337146
Togo,Togo,TG,,,Maritime,,Vo,,Anyron Kope,Africa/Lome,UTC+0.0,6.25568602945273,1.55318766895014
Togo,Togo,TG,,,Maritime,,Vo,,Dagbati,Africa/Lome,UTC+0.0,6.48653712566144,1.49829983490776
Togo,Togo,TG,,,Maritime,,Vo,,Dzrekpo,Africa/Lome,UTC+0.0,6.42377466060157,1.58204153145556
Togo,Togo,TG,,,Maritime,,Vo,,Hahotoe,Africa/Lome,UTC+0.0,6.38619374349498,1.39318252505895
Togo,Togo,TG,,,Maritime,,Vo,,Mome-Hounkpati,Africa/Lome,UTC+0.0,6.51545209977659,1.54379343333555
Togo,Togo,TG,,,Maritime,,Vo,,Sevagan,Africa/Lome,UTC+0.0,6.31392092287209,1.42127923852159
Togo,Togo,TG,,,Maritime,,Vo,,Togoville,Africa/Lome,UTC+0.0,6.25344617384369,1.47323484139177
Togo,Togo,TG,,,Maritime,,Vo,,Vo-Koutime,Africa/Lome,UTC+0.0,6.38289139758734,1.56776713962121
Togo,Togo,TG,,,Maritime,,Vo,,Vogan,Africa/Lome,UTC+0.0,6.34151690761361,1.51258015960575
Togo,Togo,TG,,,Maritime,,Yoto,,Ahepe,Africa/Lome,UTC+0.0,6.57633572678198,1.42183952705391
Togo,Togo,TG,,,Maritime,,Yoto,,Amoussime,Africa/Lome,UTC+0.0,6.64015775100781,1.50714049623292
Togo,Togo,TG,,,Maritime,,Yoto,,Esse Godjin,Africa/Lome,UTC+0.0,6.72038275812897,1.55330920940922
Togo,Togo,TG,,,Maritime,,Yoto,,Gboto,Africa/Lome,UTC+0.0,6.70210152122076,1.49046116038408
Togo,Togo,TG,,,Maritime,,Yoto,,Kini-Kondji,Africa/Lome,UTC+0.0,6.59014062987403,1.54800691165684
Togo,Togo,TG,,,Maritime,,Yoto,,Kouve,Africa/Lome,UTC+0.0,6.72946459685108,1.41080444220889
Togo,Togo,TG,,,Maritime,,Yoto,,Sedome,Africa/Lome,UTC+0.0,6.77111573330175,1.57831872958012
Togo,Togo,TG,,,Maritime,,Yoto,,Tabligbo,Africa/Lome,UTC+0.0,6.57887858399177,1.49579788711152
Togo,Togo,TG,,,Maritime,,Yoto,,Tchekpo,Africa/Lome,UTC+0.0,6.53075251533099,1.35840929421307
Togo,Togo,TG,,,Maritime,,Yoto,,Tokpli,Africa/Lome,UTC+0.0,6.62551397978025,1.58524663026616
Togo,Togo,TG,,,Maritime,,Yoto,,Tomety-Kondji,Africa/Lome,UTC+0.0,6.82471050775072,1.54367619766847
Togo,Togo,TG,,,Maritime,,Yoto,,Zafi,Africa/Lome,UTC+0.0,6.70101234079403,1.31589084079187
Togo,Togo,TG,,,Maritime,,Zio,,Abobo,Africa/Lome,UTC+0.0,6.25225214584142,1.34657032663328
Togo,Togo,TG,,,Maritime,,Zio,,Agbelouve,Africa/Lome,UTC+0.0,6.71917188827491,1.08646548964796
